Wavelength,Weight
600.0,0.8186192
601.0,0.8816671
602.0,0.9196858
603.0,0.97459584
604.0,0.9228662
605.0,0.8685253
606.0,0.8721645
607.0,1.0312235
608.0,0.8071323
609.0,0.81383413
610.0,0.7208106
611.0,0.79657507
612.0,0.7866289
613.0,0.7864018
614.0,0.7023793
615.0,0.71590614
616.0,0.782414
617.0,0.8630397
618.0,0.9036185
619.0,0.8572404
620.0,0.81772834
621.0,0.72816986
622.0,0.7570512
623.0,0.7902168
624.0,0.7573274
625.0,0.8118873
626.0,0.8207497
627.0,0.7115508
628.0,0.80914515
629.0,0.7936488
630.0,0.8299315
631.0,0.80578667
632.0,0.9063125
633.0,0.8543232
634.0,0.8754477
635.0,0.71925664
636.0,0.6642786
637.0,0.66570824
638.0,0.5946058
639.0,0.66740674
640.0,0.6620952
641.0,0.6647804
642.0,0.71954554
643.0,0.7516324
644.0,0.7719748
645.0,0.6233534
646.0,0.6023083
647.0,0.69360405
648.0,0.69862026
649.0,0.66844386
650.0,0.61377984
651.0,0.61682755
652.0,0.60401213
653.0,0.6488871
654.0,0.6862698
655.0,0.7097089
656.0,0.7056197
657.0,0.69903135
658.0,0.80487967
659.0,0.6176712
660.0,0.70065135
661.0,0.5518217
662.0,0.7393265
663.0,0.61995846
664.0,0.7259476
665.0,0.79128367
666.0,0.721316
667.0,0.8087646
668.0,0.8582609
669.0,0.8438991
670.0,0.80706203
671.0,0.8926361
672.0,0.8367688
673.0,0.83983135
674.0,0.694821
675.0,0.70461065
676.0,0.6669889
677.0,0.6341155
678.0,0.52730674
679.0,0.553657
680.0,0.57584447
681.0,0.5276161
682.0,0.5870235
683.0,0.4932751
684.0,0.5735052
685.0,0.5006488
686.0,0.54329205
687.0,0.49659103
688.0,0.52127093
689.0,0.532118
690.0,0.5254283
691.0,0.52040523
692.0,0.5270418
693.0,0.5159462
694.0,0.5771555
695.0,0.5806515
696.0,0.6759618
697.0,0.6726496
698.0,0.7535422
699.0,0.7535372
700.0,0.9912286
701.0,0.8122359
702.0,0.8329067
703.0,0.5725592
704.0,0.5973864
705.0,0.5635496
706.0,0.5140671
707.0,0.56680363
708.0,0.53439
709.0,0.50703335
710.0,0.5225396
711.0,0.57173246
712.0,0.4888636
713.0,0.56802475
714.0,0.5452034
715.0,0.77576566
716.0,0.7528174
717.0,0.95796233
718.0,0.95284307
719.0,0.9746625
720.0,1.0044606
721.0,0.96842444
722.0,0.8121
723.0,0.9367794
724.0,0.98205113
725.0,0.9343182
726.0,0.8549228
727.0,0.9504248
728.0,0.9114639
729.0,0.86194545
730.0,0.81412125
731.0,1.0661057
732.0,0.9979341
733.0,0.89426243
734.0,0.95330626
735.0,0.8552368
736.0,0.93391883
737.0,0.9654204
738.0,0.64702964
739.0,0.77061063
740.0,0.6549302
741.0,0.70457625
742.0,0.6606743
743.0,0.7476244
744.0,0.9084742
745.0,0.74281216
746.0,0.80867016
747.0,0.78728443
748.0,0.7772381
749.0,0.6692525
750.0,0.8570929
751.0,0.8310756
752.0,0.8160578
753.0,0.8693624
754.0,0.8775859
755.0,0.764961
756.0,0.7004419
757.0,0.8538085
758.0,0.8964241
759.0,0.9645818
760.0,0.8607844
761.0,0.83068955
762.0,0.898619
763.0,0.8191313
764.0,0.72450984
765.0,0.7565996
766.0,1.0081058
767.0,0.8870987
768.0,0.96339095
769.0,0.88672465
770.0,0.9859012
771.0,0.9262749
772.0,0.9764024
773.0,0.8888324
774.0,0.7951492
775.0,0.88705826
776.0,0.8773078
777.0,0.92523634
778.0,0.7186795
779.0,0.84863496
780.0,0.7506034
781.0,0.76038396
782.0,0.71379834
783.0,0.73757493
784.0,0.78589064
785.0,0.67201924
786.0,0.72397393
787.0,0.72970957
788.0,0.7537376
789.0,0.88543993
790.0,0.8470492
791.0,0.83945197
792.0,0.89252764
793.0,0.8963758
794.0,0.95220363
795.0,0.96421564
796.0,0.9133433
797.0,0.9615129
798.0,0.95650244
799.0,0.87663347
800.0,0.993306
801.0,0.9115628
802.0,0.9025556
803.0,0.91243607
804.0,0.8851895
805.0,0.9115023
806.0,0.99936974
807.0,0.916397
808.0,0.9196024
809.0,0.96814
810.0,0.89004904
811.0,0.92956984
812.0,0.7611843
813.0,0.79648465
814.0,0.6713629
815.0,0.7298189
816.0,0.60194135
817.0,0.5561294
818.0,0.5781774
819.0,0.60246295
820.0,0.6087173
821.0,0.6491537
822.0,0.6189175
823.0,0.5877218
824.0,0.66106695
825.0,0.64180654
826.0,0.6472089
827.0,0.5976949
828.0,0.70038456
829.0,0.6950025
830.0,0.69643444
831.0,0.5512226
832.0,0.6486885
833.0,0.5841247
834.0,0.6117769
835.0,0.584059
836.0,0.56978655
837.0,0.56082344
838.0,0.4936641
839.0,0.55679953
840.0,0.51230115
841.0,0.5413913
842.0,0.5080969
843.0,0.5184956
844.0,0.5393928
845.0,0.5022339
846.0,0.5577394
847.0,0.49216434
848.0,0.54226017
849.0,0.52708983
850.0,0.50706184
851.0,0.5398638
852.0,0.523274
853.0,0.5343584
854.0,0.5634084
855.0,0.5132818
856.0,0.6410739
857.0,0.5837849
858.0,0.61091775
859.0,0.61304444
860.0,0.7291407
861.0,0.63524663
862.0,0.57610095
863.0,0.5378585
864.0,0.5658573
865.0,0.52957755
866.0,0.50824475
867.0,0.5243494
868.0,0.5776791
869.0,0.5956434
870.0,0.4850829
871.0,0.6113162
872.0,0.53632647
873.0,0.56455714
874.0,0.6770691
875.0,0.6219403
876.0,0.7012272
877.0,0.79438984
878.0,0.7696937
879.0,0.83286875
880.0,0.8163902
881.0,0.773262
882.0,0.78305906
883.0,0.83672976
884.0,0.78263724
885.0,0.702707
886.0,0.6877131
887.0,0.78069353
888.0,0.77006334
889.0,0.7764669
890.0,0.71745366
891.0,0.75664294
892.0,0.62116396
893.0,0.6009383
894.0,0.65030277
895.0,0.69741046
896.0,0.65067637
897.0,0.688334
898.0,0.725857
899.0,0.7824681
900.0,0.8123834
901.0,0.80783206
902.0,0.8933209
903.0,0.80572045
904.0,0.7839916
905.0,0.91876566
906.0,0.8104419
907.0,1.051533
908.0,0.90787274
909.0,0.883846
910.0,0.86565524
911.0,1.0242472
912.0,1.0225141
913.0,1.006152
914.0,0.9124888
915.0,0.9542984
916.0,0.9372747
917.0,0.7797641
918.0,0.8216779
919.0,0.79880023
920.0,0.97459805
921.0,1.0269982
922.0,0.768209
923.0,0.9387043
924.0,0.66907376
925.0,0.71328205
926.0,0.70672005
927.0,0.66410154
928.0,0.66246504
929.0,0.6694665
930.0,0.6572502
931.0,0.6659642
932.0,0.7960896
933.0,0.8835148
934.0,0.9191842
935.0,0.90425724
936.0,0.80987227
937.0,0.9557387
938.0,0.8302106
939.0,0.9761292
940.0,0.9830669
941.0,0.9653597
942.0,0.82658523
943.0,0.95680255
944.0,1.0065025
945.0,0.8776956
946.0,0.89080703
947.0,0.76402575
948.0,0.7307053
949.0,0.760643
950.0,0.6590975
951.0,0.62259835
952.0,0.7572917
953.0,0.82846195
954.0,0.69669247
955.0,0.6035535
956.0,0.5688119
957.0,0.6217502
958.0,0.62275714
959.0,0.61653244
960.0,0.619325
961.0,0.61638767
962.0,0.6072852
963.0,0.6226273
964.0,0.6554044
965.0,0.7005082
966.0,0.6659241
967.0,0.72120357
968.0,0.6844354
969.0,0.6170251
970.0,0.6381878
971.0,0.69433546
972.0,0.8199924
973.0,0.6769171
974.0,0.77978414
975.0,0.65976745
976.0,0.7016041
977.0,0.7473921
978.0,0.6983801
979.0,0.7194029
980.0,0.73440015
981.0,0.60494107
982.0,0.64686584
983.0,0.8154737
984.0,0.67390156
985.0,0.70310235
986.0,0.6126872
987.0,0.5982069
988.0,0.6604101
989.0,0.64839923
990.0,0.7402793
991.0,0.60490316
992.0,0.7093457
993.0,0.66534966
994.0,0.76661867
995.0,0.64114827
996.0,0.72195756
997.0,0.64955646
998.0,0.59234726
999.0,0.65259874
1000.0,0.661994
1001.0,0.6389806
1002.0,0.53923124
1003.0,0.58663696
1004.0,0.51661825
1005.0,0.48297793
1006.0,0.53808165
1007.0,0.5440626
1008.0,0.5031749
1009.0,0.51956725
1010.0,0.5314507
1011.0,0.5369912
1012.0,0.5437701
1013.0,0.5291467
1014.0,0.5167049
1015.0,0.52895457
1016.0,0.49701363
1017.0,0.4937297
1018.0,0.48439822
1019.0,0.5110787
1020.0,0.4912812
1021.0,0.50318897
1022.0,0.5588364
1023.0,0.5232366
1024.0,0.54676944
1025.0,0.54026216
1026.0,0.58294153
1027.0,0.56420416
1028.0,0.5484457
1029.0,0.6007171
1030.0,0.54063916
1031.0,0.5892704
1032.0,0.5599809
1033.0,0.62368006
1034.0,0.72871083
1035.0,0.63119745
1036.0,0.8112399
1037.0,0.83162564
1038.0,0.8439589
1039.0,0.79024804
1040.0,0.85587627
1041.0,0.81322896
1042.0,0.7593969
1043.0,0.7163058
1044.0,0.8282416
1045.0,0.8805525
1046.0,0.6892159
1047.0,0.6226106
1048.0,0.6949331
1049.0,0.67645866
1050.0,0.4995589
1051.0,0.5729397
1052.0,0.5375489
1053.0,0.50917524
1054.0,0.5312387
1055.0,0.52951723
1056.0,0.53087443
1057.0,0.51730675
1058.0,0.5365702
1059.0,0.5217962
1060.0,0.5320633
1061.0,0.4934595
1062.0,0.51273495
1063.0,0.5062931
1064.0,0.572965
1065.0,0.5579289
1066.0,0.54152966
1067.0,0.5269296
1068.0,0.5450844
1069.0,0.5282113
1070.0,0.49815756
1071.0,0.5115201
1072.0,0.51755136
1073.0,0.50347906
1074.0,0.4901168
1075.0,0.53217953
1076.0,0.5206016
1077.0,0.5312228
1078.0,0.4941148
1079.0,0.5206726
1080.0,0.51793474
1081.0,0.5203682
1082.0,0.5409391
1083.0,0.5305948
1084.0,0.5137948
1085.0,0.5230226
1086.0,0.51946926
1087.0,0.5289329
